id,text,greetings,goodbye_prompt,change_nib_or_iban,request_parking_lot,request_office_table_office,request_time_off,nothing_related
51,I would like to request time off on 20-10-2023 and 21-10-2023.,False,False,False,False,False,True,False
52,My Workday IBAN needs to be updated to PT50162821094443227768341.,False,False,True,False,False,False,False
53,"Farewell, and may your dreams be",False,True,False,False,False,False,False
54,Can you please arrange a parking spot for me in the Braga office park f2 on 8-08-2023?,False,False,False,True,False,False,False
55,Could you please reserve a parking spot for me in the Braga office park b1 on 7-04-2023?,False,False,False,True,False,False,False
56,I need to arrange a parking space in the Lisbon office park b1 for 6-24-2023. Can you assist me?,False,False,False,True,False,False,False
57,I would like to request time off from 15-11-2023 to 19-11-2023.,False,False,False,False,False,True,False
58,"I need to arrange a parking space in the Lisbon office park b1 for 8-04-2023, can you assist me?",False,False,False,True,False,False,False
59,"Hello! You have the power to make a difference, so go out and do great things.",True,False,False,False,False,False,False
60,"Could you assist me in securing a place in the Faro office, the room b2 for the weekend of 18-11-2023?",False,False,False,False,True,False,False
61,"No specific tasks or errands, just taking a moment to breathe.",False,False,False,False,False,False,True
62,The gentle rustling of leaves in the wind provided a calming effect in the garden.,False,False,False,False,True,False,False
63,"Hello! Embrace the challenges that come your way, for they make you stronger.",True,False,False,False,False,False,False
64,"Just embracing the journey of self-discovery, no need for external validations.",False,False,False,False,False,False,True
65,"It's time to say goodbye, but our memories will forever be cherished.",False,True,False,False,False,False,False
66,"Can you book me a spot in the Faro office, specifically in room A2, for the week of November 19th, 2023?",False,False,False,False,True,False,False
67,I need to request time off on 19th May 2023 and 20th May 2023.,False,False,False,False,False,True,False
68,"If you were a fruit, which fruit would you be and why?",False,False,False,False,False,False,True
69,"Not seeking any specific gratifications, finding contentment in the simple pleasures.",False,False,False,False,False,False,True
70,"Farewell, my partner. May success follow your every step.",False,True,False,False,False,False,False
71,I would like to request time off on 29-09-2023 and 30-09-2023.,False,False,False,False,False,True,False
72,How's the journey going?,True,False,False,False,False,False,False
73,"Can you book me a place in the Faro office, specifically in room C1, for September 5th, 2023?",False,False,False,False,True,False,False
74,Could you please book a parking space for me in the Faro office park b1 on 5-03-2023?,False,False,False,True,False,False,False
75,"Could you assist me in securing a place in the Coimbra office, specifically in room B2, for April 15th, 2024?",False,False,False,False,True,False,False
76,"I need to request time off on the third of June, 2023.",False,False,False,False,False,True,False
77,"As we part ways, may serenity and joy accompany you. Goodbye!",False,True,False,False,False,False,False
78,"No particular agenda or schedule, simply going with the flow.",False,False,False,False,False,False,True
79,"Could you assist me in securing a spot in the Braga office, specifically in room A1, on December 25th, 2023?",False,False,False,False,True,False,False
80,"As we part ways, let love lead the way. Goodbye!",False,True,False,False,False,False,False
81,"If you had the power to instantly learn any skill, which skill would you choose and why?",False,False,False,False,False,False,True
82,Bonjour!,True,False,False,False,False,False,False
83,"With a burst of energy, the children ran and played games during recess at school.",False,False,False,False,True,False,False
84,"I need to arrange a parking space in the Viseu office park b1, for 5-05-2023, can you assist me?",False,False,False,True,False,False,False
85,"Hey, my fellow champion of sustainability! How have you been reducing your ecological footprint?",True,False,False,False,False,False,False
86,I want to modify my Workday NIB to PT50201360340616681320306.,False,False,True,False,False,False,False
87,I would like to request time off from 20-09-2023 to 24-09-2023.,False,False,False,False,False,True,False
88,"Can you book me a spot in the Faro office, in the room a1, for the dates of 13-01-2023?",False,False,False,False,True,False,False
89,Could you please book a parking space for me in the Faro office park l1 on 6-22-2023?,False,False,False,True,False,False,False
90,"No specific plans or activities, simply enjoying the serendipity of the moment.",False,False,False,False,False,False,True
91,"To update my Workday NIB, I need to set it to PT50898590776438751587652.",False,False,True,False,False,False,False
92,"I need to book a parking lot in the Leiria office park b2 for 3-27-2023, can you assist me?",False,False,False,True,False,False,False
93,"Greetings, my fellow mindfulness practitioner! How have you been finding serenity?",True,False,False,False,False,False,False
94,May your day be filled with joy!,False,True,False,False,False,False,False
95,"I would like to book a parking lot in the Lisbon office park f2 for 4-20-2023, can you help me with that?",False,False,False,True,False,False,False
96,"Adieu, my dear companion, until our next encounter.",False,True,False,False,False,False,False
97,I need to update my Workday IBAN to PT50373117886520700771757.,False,False,True,False,False,False,False
98,"No particular questions or inquiries, just wanted to say hi.",False,False,False,False,False,False,True
99,Can you help me reserve a parking spot in the Lisbon office park r1 on 5-10-2023?,False,False,False,True,False,False,False
100,"Can you help me reserve a spot in the Algarve office, particularly in room B1, for July 7th, 2023?",False,False,False,False,True,False,False
101,I need to request time off on 2023/06/03 and 2023/06/04.,False,False,False,False,False,True,False
102,I would like to request time off on 13-07-2023.,False,False,False,False,False,True,False
103,"With a burst of color, the sky painted a breathtaking sunset over the ocean.",False,False,False,False,True,False,False
104,The scent of freshly washed laundry brought a sense of cleanliness to the room.,False,False,False,False,True,False,False
105,It's time to bid adieu!,False,True,False,False,False,False,False
106,"Can you book me a place in the Faro office, specifically in room C1, for the week of May 1st, 2023?",False,False,False,False,True,False,False
107,"I need to book a place in the Aveiro office, specifically in room B1, for October 18th, 2023.",False,False,False,False,True,False,False
108,"Hello, my friend! Just a reminder that you're capable of greatness.",True,False,False,False,False,False,False
109,"To update my Workday IBAN, I want to set it to PT50854603974190269514484.",False,False,True,False,False,False,False
110,"If you had to communicate only through interpretive dance for a day, how would you express your feelings right now?",False,False,False,False,False,False,True
111,I need to request time off on 22nd June 2023.,False,False,False,False,False,True,False
112,Can you help me reserve a parking spot in the Leiria office park l2 on 4-16-2023?,False,False,False,True,False,False,False
113,"With the scent of saltwater in the air, the beachgoers enjoyed a day of fun in the sun.",False,False,False,False,True,False,False
114,I need to request time off on 25-05-2023.,False,False,False,False,False,True,False
115,"Greetings, my hiking buddy! Any breathtaking trails you've conquered recently?",True,False,False,False,False,False,False
116,"Take care, my dear one. Goodbye and keep chasing your dreams.",False,True,False,False,False,False,False
117,I wish to update my NIB in Workday to PT50960745290407834341495,False,False,True,False,False,False,False
118,The enthusiastic crowd cheered on their favorite team during an intense sports match.,False,False,False,False,True,False,False
119,"If you had to summarize your favorite book in just one sentence, what would it be?",False,False,False,False,False,False,True
120,How's the pursuit of excellence?,True,False,False,False,False,False,False
121,"With a sense of anticipation, the children eagerly unwrapped their presents on Christmas morning.",False,False,False,False,True,False,False
122,Have a marvelous day ahead!,False,True,False,False,False,False,False
123,I would like to request time off from 3/6/23 to 20/6/23.,False,False,False,False,False,True,False
124,"Can you book me a spot in the Aveiro office, the room b2, for the dates of 14-06-2023?",False,False,False,False,True,False,False
125,The soothing sound of a babbling brook provided tranquility during a peaceful hike.,False,False,False,False,True,False,False
126,"It's time to bid adieu, but our bond remains strong.",False,True,False,False,False,False,False
127,"Could you assist me in securing a spot in the Funchal office, specifically in room C1, on October 5th, 2023",False,False,False,False,True,False,False
128,"To update my NIB in Workday, I want to set it to PT50447514766568226113839.",False,False,True,False,False,False,False
129,"Can you book me a place in the Faro office, specifically in room C1, for the week of May 2nd, 2023?",False,False,False,False,True,False,False
130,"Can you please reserve a parking spot for me in the BraganÃ§a office park l2, on 5-16-2023?",False,False,False,True,False,False,False
131,I want to modify my Workday IBAN to PT50030199225723160046304.,False,False,True,False,False,False,False
132,"No particular preferences for dinner tonight, happy to eat whatever.",False,False,False,False,False,False,True
133,Hi there! How's your day shaping up so far?,True,False,False,False,False,False,False
134,"Could you assist me in securing a place in the Coimbra office, in the room b1, for the dates of 12-09-2023?",False,False,False,False,True,False,False
135,"Farewell, and may your spirit radiate joy!",False,True,False,False,False,False,False
136,Could you please book a parking space for me in the Faro office park b2 on 8-12-2023?,False,False,False,True,False,False,False
137,"I need to arrange a parking space in the Lisbon office park b1 for 8-07-2023, can you assist me?",False,False,False,True,False,False,False
138,"Can you help me secure a spot in the Funchal office, specifically in room C1, on January 8th, 2023?",False,False,False,False,True,False,False
139,Good evening! I hope you had a wonderful day.,True,False,False,False,False,False,False
140,I wish to alter my Workday IBAN to PT50915176704302901877004.,False,False,True,False,False,False,False
141,"Welcome back, my partner in exploration! Any new destinations on your travel bucket list?",True,False,False,False,False,False,False
142,"Can you please reserve a parking spot for me in the SantarÃ©m office park b2, on 5-22-2023?",False,False,False,True,False,False,False
143,I want to replace the NIB in Workday with PT50656837505296016935138,False,False,True,False,False,False,False
144,Can you please arrange a parking spot for me in the Braga office park b2 on 9-02-2023?,False,False,False,True,False,False,False
145,"Could you assist me in securing a spot in the Braga office, specifically in room A1, on September 2nd, 2024?",False,False,False,False,True,False,False
146,"Could you assist me in reserving a spot in the SetÃºbal office, in the room c2 for the dates of June 20th-24th, 2023?",False,False,False,False,True,False,False
147,"Can you help me reserve a spot in the Algarve office, particularly in room B1, for July 6th, 2023?",False,False,False,False,True,False,False
148,"Hi, fashionista!",True,False,False,False,False,False,False
149,See you on the other side!,False,True,False,False,False,False,False
150,"Could you assist me in securing a place in the Coimbra office, the room c2 for the week of 22-08-2023?",False,False,False,False,True,False,False
151,The fragrance of pine trees filled the air as the hiker ventured deeper into the forest.,False,False,False,False,True,False,False
152,"No particular destinations in mind, open to exploring new places.",False,False,False,False,False,False,True
153,How's your day shaping up?,True,False,False,False,False,False,False
154,"Bye, enjoy your day!",False,True,False,False,False,False,False
155,"I'm looking to book a spot in the Porto office, specifically in room B2, forthe dates of May 5th, 2023.",False,False,False,False,True,False,False
156,"Good day to you, my culinary genius! What delectable dishes have you mastered?",True,False,False,False,False,False,False
157,"I need to book a parking lot in the Guarda office park l2 for 8-23-2023, can you assist me?",False,False,False,True,False,False,False
158,I would like to substitute my Workday NIB with PT50612140011244896636516.,False,False,True,False,False,False,False
159,Take care of yourself!,False,True,False,False,False,False,False
160,"Can you please reserve a parking spot for me in the SantarÃ©m office park r2, on 5-10-2023?",False,False,False,True,False,False,False
161,"With a burst of colors, the sky painted a magnificent sunset over the horizon.",False,False,False,False,True,False,False
162,"No specific expectations for the day, open to whatever unfolds.",False,False,False,False,False,False,True
163,I wish to update my NIB in Workday to PT50404885032043842390211.,False,False,True,False,False,False,False
164,Can you please arrange a parking space for me in the BraganÃ§a office park r1 on 3-12-2023?,False,False,False,True,False,False,False
165,Hi there! May your day be filled with opportunities to grow and learn.,True,False,False,False,False,False,False
166,"Hey, adventurer! What new horizons are you seeking today?",True,False,False,False,False,False,False
167,"Just taking a moment to be present, no need to rush ahead.",False,False,False,False,False,False,True
168,"With a sense of excitement, the crowd awaited the grand finale of the fireworks show.",False,False,False,False,True,False,False
169,I need to arrange a parking space in the Lisbon office park b2 for 4-10-2023. Can you assist me?,False,False,False,True,False,False,False
170,"I would like to book a parking lot in the BraganÃ§a office park b2 for 3-09-2023, can you help me with that?",False,False,False,True,False,False,False
171,Can you please reserve a parking spot for me in the BraganÃ§a office park b1 on 4-09-2023?,False,False,False,True,False,False,False
172,"The colorful balloons adorned the party venue, adding to the festive atmosphere.",False,False,False,False,True,False,False
173,I need to request time off from 7-08-2024 to 11-08-2024.,False,False,False,False,False,True,False
174,I want to update my Workday NIB to PT50333022871967244323216,False,False,True,False,False,False,False
175,"Bye, take care!",False,True,False,False,False,False,False
176,"To change my Workday NIB, I want to set it to PT50153798134940958619567.",False,False,True,False,False,False,False
177,"Until we meet again, take care and farewell.",False,True,False,False,False,False,False
178,I need to request time off on 13-07-2023.,False,False,False,False,False,True,False
179,I would like to request time off on 10-11-2023 and 11-11-2023.,False,False,False,False,False,True,False
180,I need to request time off on 18-04-2024.,False,False,False,False,False,True,False
181,"Could you assist me in securing a spot in the Braga office, in the room, the room a1 on December 24th, 2023?",False,False,False,False,True,False,False
182,"I need to arrange a parking space in the Guarda office park f2 for 8-13-2023, can you assist me?",False,False,False,True,False,False,False
183,Hello! Sending you strength and courage to overcome any obstacles.,True,False,False,False,False,False,False
184,"To update my NIB in Workday, I want to set it to PT50624129968512814170175.",False,False,True,False,False,False,False
185,I need to alter my NIB in Workday to PT50407305473789696671977.,False,False,True,False,False,False,False
186,My Workday NIB should be updated to PT50370468078150454073976.,False,False,True,False,False,False,False
187,"No specific expectations for the future, finding peace in the unfolding.",False,False,False,False,False,False,True
188,My NIB in Workday requires a change to PT50305169784857952726150.,False,False,True,False,False,False,False
189,I would like to request time off from 20-12-2023 to 24-12-2023.,False,False,False,False,False,True,False
190,Stay in touch!,False,True,False,False,False,False,False
191,Can you please arrange a parking spot for me in the Braga office park f2 on 6-13-2023?,False,False,False,True,False,False,False
192,My NIB in Workday requires a modification to PT50091331318925691355840.,False,False,True,False,False,False,False
193,"Farewell, my trusted companion!",False,True,False,False,False,False,False
194,"Hey, it's a brand new day filled with endless possibilities!",True,False,False,False,False,False,False
195,"Hi there, my fellow foodie! Any new culinary delights you've discovered?",True,False,False,False,False,False,False
196,"I'm interested in booking the Ã‰vora office, specifically in room A2, for October 29th, 2023. Can you help me with that?",False,False,False,False,True,False,False
197,"I need to arrange a parking space in the Lisbon office park r1 for 9-08-2023, can you assist me?",False,False,False,True,False,False,False
198,"The soft melody of a piano filled the concert hall, enchanting the audience.",False,False,False,False,True,False,False
199,"If you could rename the days of the week, what creative names would you give them?",False,False,False,False,False,False,True
200,"Can you help me reserve a office, the room in the SetÃºbal office, the room b1 on January 26th, 2023?",False,False,False,False,True,False,False
201,I need to substitute my NIB in Workday with PT50845292127961390034098.,False,False,True,False,False,False,False
202,Can you help me reserve a parking spot in the Vila Real office park b1 on 3-26-2023?,False,False,False,True,False,False,False
203,I  want to substitute my Workday IBAN with PT50918826732951304319067.,False,False,True,False,False,False,False
204,I want to substitute my Workday NIB with PT50087433669392393842445.,False,False,True,False,False,False,False
205,"As we part ways, let love illuminate your path. Goodbye!",False,True,False,False,False,False,False
206,"Well hello, stranger!",True,False,False,False,False,False,False
207,"Hey, rockstar!",True,False,False,False,False,False,False
208,Can you help me reserve a parking spot in the Lisbon office park r1 on 6-09-2023?,False,False,False,True,False,False,False
209,Can you help me reserve a parking spot in the Lisbon office park l1 on 4-22-2023?,False,False,False,True,False,False,False
210,Wishing you endless blessings and fulfillment!,False,True,False,False,False,False,False
211,I would like to request time offon 5-10-2023.,False,False,False,False,False,True,False
212,"With a burst of laughter, friends shared stories and jokes around the campfire.",False,False,False,False,True,False,False
213,I want to update my NIB in Workday to PT50720057375996038942144.,False,False,True,False,False,False,False
214,"Farewell, my confidant. Until we meet again.",False,True,False,False,False,False,False
215,My NIB in Workday should be changed to PT50484857513851147486293,False,False,True,False,False,False,False
216,"Could you assist me in reserving a spot in the SetÃºbal office, particularly in room C2, from June 16th to 20th, 2023?",False,False,False,False,True,False,False
217,"Just embracing the uncertainties of life, no need for rigid plans.",False,False,False,False,False,False,True
218,I would like to request time off from 17th May 2023 to 21st May 2023.,False,False,False,False,False,True,False
219,"To update my Workday IBAN, I want to set it to PT50217837516223101924630.",False,False,True,False,False,False,False
220,"As we part ways, may serenity be your constant companion. Goodbye!",False,True,False,False,False,False,False
221,"As we say farewell, let hope and dreams be your constant companions.",False,True,False,False,False,False,False
222,"Share a personal challenge you've overcome, and let's explore the lessons learned from that experience.",False,False,False,False,False,False,True
223,I need to request time off on 18-05-2023.,False,False,False,False,False,True,False
224,I would like to request time off on 18-08-2023 and 19-08-2023.,False,False,False,False,False,True,False
225,"No particular plans for the evening, happy to go with the flow.",False,False,False,False,False,False,True
226,"Hey there, my fellow animal lover! Any adorable furry friends in your life?",True,False,False,False,False,False,False
227,I need to change my Workday IBAN to PT50881966681439272189696.,False,False,True,False,False,False,False
228,Can you please book a parking lot for me in the Leiria office park r1 on 4-24-2023?,False,False,False,True,False,False,False
229,I need to amend my Workday NIB to PT50331107063361899850090,False,False,True,False,False,False,False
230,I require my Workday IBAN to be changed to PT50807011353134999080044.,False,False,True,False,False,False,False
231,Hi! May your day be as bright as your smile.,True,False,False,False,False,False,False
232,"The old oak tree stood tall and proud, its branches stretching towards the sky.",False,False,False,False,True,False,False
233,"To modify my NIB in Workday, I need to set it to PT50996127759867581885461.",False,False,True,False,False,False,False
234,I would like to reserve a parking spot in the Porto office park l2 for 5-22-2023. Can you assist me?,False,False,False,True,False,False,False
235,"Can you help me book a parking lot in the Vila Real office park l2, on 5-24-2023?",False,False,False,True,False,False,False
236,I want to set my Workday IBAN as PT50327450749032880109647.,False,False,True,False,False,False,False
237,I want to update my Workday NIB to PT50333022871967244323216.,False,False,True,False,False,False,False
238,Hi! Keep shining bright and being the incredible person that you are.,True,False,False,False,False,False,False
239,I would like to request time off on 7-12-2023.,False,False,False,False,False,True,False
240,"To update my NIB in Workday, I need to modify it to PT50367865106395272078156.",False,False,True,False,False,False,False
241,I need to request time off on 4-04-2024.,False,False,False,False,False,True,False
242,"I need to make a reservation for the Coimbra office, specifically in room B2, on October 3rd, 2023.",False,False,False,False,True,False,False
243,"If you had a magic pen that could bring any drawing to life, what would you draw and why?",False,False,False,False,False,False,True
244,Can you help me book a parking lot in the Coimbra office park r2 on 6-10-2023?,False,False,False,True,False,False,False
245,Good morning! Embrace the day with a grateful heart and a positive attitude.,True,False,False,False,False,False,False
246,Can you please reserve a parking spot for me in the BraganÃ§a office park b1 on 4-21-2023?,False,False,False,True,False,False,False
247,I want to alter my Workday NIB to PT50193278571343959098865.,False,False,True,False,False,False,False
248,See you in the symphony of life!,False,True,False,False,False,False,False
249,Goodbye for now!,False,True,False,False,False,False,False
250,Take care!,False,True,False,False,False,False,False
251,"Welcome back, my partner in creativity! Any new artistic endeavors in progress?",True,False,False,False,False,False,False
252,"Not seeking any specific answers, content with the mysteries of life.",False,False,False,False,False,False,True
253,Can you help me book a parking lot in the Coimbra office park r2 on 5-21-2023?,False,False,False,True,False,False,False
254,I need to amend my Workday NIB to PT50711301675830836350909.,False,False,True,False,False,False,False
255,"Salutations, my fellow daydreamer! What fantastical worlds have you imagined?",True,False,False,False,False,False,False
256,Until we reunite in the tapestry of the universe!,False,True,False,False,False,False,False
257,"Could you assist me in securing a place in the Coimbra office, specifically in room B1, for November 30th, 2023?",False,False,False,False,True,False,False
258,"Can you help me reserve a spot in the Algarve office, particularly in room B1, for July 9th, 2023?",False,False,False,False,True,False,False
259,"Goodbye, with the hope of future encounters!",False,True,False,False,False,False,False
260,"Farewell, my dear!",False,True,False,False,False,False,False
261,"Greetings, fellow dreamer! What wonders have you been imagining lately?",True,False,False,False,False,False,False
262,"Not seeking any specific outcomes or resolutions, finding peace in acceptance.",False,False,False,False,False,False,True
263,Can you please book a parking lot for me in the Lisbon office park l1 on 8-14-2023?,False,False,False,True,False,False,False
264,I want to update my Workday IBAN to PT50333022871967244323216.,False,False,True,False,False,False,False
265,"I need to request time off on 2023, June 3rd.",False,False,False,False,False,True,False
266,"As we part ways, let gratitude guide your heart.",False,True,False,False,False,False,False
267,I want to replace my Workday IBAN with PT50333788465171252492392.,False,False,True,False,False,False,False
268,My Workday NIB needs to be altered to PT50975303281785392075846.,False,False,True,False,False,False,False
269,Laughter echoed through the park as children played on the swings and slides.,False,False,False,False,True,False,False
270,Hi there! How was your weekend? Do anything fun?,True,False,False,False,False,False,False
271,"With a sense of freedom, the hot air balloon soared high above the landscape.",False,False,False,False,True,False,False
272,Can you please arrange a parking spot for me in the Braga office park b2 on 5-04-2023?,False,False,False,True,False,False,False
273,Take care of yourself and stay safe.,False,True,False,False,False,False,False
274,"Hi, buddy!",True,False,False,False,False,False,False
275,My Workday IBAN needs to be changed to PT50204125574902887024852.,False,False,True,False,False,False,False
276,Catch you on the sunny side of life!,False,True,False,False,False,False,False
277,I would like to request time off on 14-07-2023 and 15-07-2023.,False,False,False,False,False,True,False
278,"I need to book a place in the SetÃºbal office, specifically in room C2, for September 11th, 2023.",False,False,False,False,True,False,False
279,"No specific plans or agendas, simply going with the flow.",False,False,False,False,False,False,True
280,"Hi, sport!",True,False,False,False,False,False,False
281,"No specific topics to discuss, just appreciating the silence.",False,False,False,False,False,False,True
282,"Just embracing the simplicity of this moment, no need for anything more.",False,False,False,False,False,False,True
283,I need to request time off from 10-07-2024 to 14-07-2024.,False,False,False,False,False,True,False
284,"Hey there, my fellow entrepreneur! Any exciting ventures on the horizon?",True,False,False,False,False,False,False
285,Salutations!,True,False,False,False,False,False,False
286,"I need to make a reservation for the Funchal office, the room a1 on July 18th, 2023.",False,False,False,False,True,False,False
287,"With a sense of wonder, the astronomer observed distant galaxies through the telescope.",False,False,False,False,True,False,False
288,I would like to request time off from 10-05-2023 to 14-05-2023.,False,False,False,False,False,True,False
289,I want to set my Workday NIB to PT50107655022017103151256.,False,False,True,False,False,False,False
290,Welcome!,True,False,False,False,False,False,False
291,I would like to request time off on 20-07-2023.,False,False,False,False,False,True,False
292,Can you please book a parking lot for me in the Guarda office park l1 on 8-02-2023?,False,False,False,True,False,False,False
293,"Not looking for anything in particular, just happy to engage and chat.",False,False,False,False,False,False,True
294,Hi there! How's your week shaping up so far?,True,False,False,False,False,False,False
295,Could you please arrange a parking space for me in the Guarda office park l2 on 8-16-2023?,False,False,False,True,False,False,False
296,"To change my Workday NIB, I want to set it to PT50952466149143197826174.",False,False,True,False,False,False,False
297,"Hey, superstar! Your presence always lights up the room.",True,False,False,False,False,False,False
298,"To modify my NIB in Workday, I need to set it to PT50704591725322873672515.",False,False,True,False,False,False,False
299,"Hello, my dear supporter of environmental conservation! What eco-friendly practices have you embraced lately?",True,False,False,False,False,False,False
300,"The scent of lavender and chamomile filled the bedroom, promoting a restful sleep.",False,False,False,False,True,False,False
301,How's the hustle?,True,False,False,False,False,False,False
302,"I'm interested in reserving the SantarÃ©m office, in the room a1 for the weekend of November 11th-12th, 2023. Can you help me with that?",False,False,False,False,True,False,False
303,"Can you help me reserve a spot in the Algarve office, particularly in room B1, for August 12th, 2023?",False,False,False,False,True,False,False
304,"I would like to book a parking lot in the Viana do Castelo office park b1, for 5-21-2023, can you help me with that?",False,False,False,True,False,False,False
305,Can you help me book a parking lot in the Coimbra office park b2 on 5-16-2023?,False,False,False,True,False,False,False
306,The rhythmic beat of drums accompanied the vibrant parade during the cultural festival.,False,False,False,False,True,False,False
307,Top of the morning to you! Hope you have a great day!,True,False,False,False,False,False,False
308,I need to modify my Workday IBAN to PT50366532989425833235203.,False,False,True,False,False,False,False
309,The sound of applause erupted as the magician pulled off an impressive trick.,False,False,False,False,True,False,False
310,I need to arrange a parking space in the Leiria office park b2 for 4-22-2023. Can you assist me?,False,False,False,True,False,False,False
311,"I'm interested in reserving the SantarÃ©m office, specifically in room A1, for the weekend of November 9th to 10th, 2023. Can you help me with that?",False,False,False,False,True,False,False
312,"No specific goals for the conversation, finding joy in authentic connections.",False,False,False,False,False,False,True
313,"I need to arrange a parking space in the Leiria office park b2 for 4-10-2023, can you assist me?",False,False,False,True,False,False,False
314,"As we part ways, let gratitude guide your heart. Goodbye!",False,True,False,False,False,False,False
315,I need to modify my Workday IBAN to PT50391419468556829384961.,False,False,True,False,False,False,False
316,I need to request time off from 24-07-2024 to 28-07-2024.,False,False,False,False,False,True,False
317,"I need to make a reservation for the Coimbra office, specifically in room B2, on October 4th, 2023.",False,False,False,False,True,False,False
318,Have a remarkable and purposeful odyssey!,False,True,False,False,False,False,False
319,"The scent of blooming lilacs filled the garden, announcing the arrival of spring.",False,False,False,False,True,False,False
320,Hello! May your day be as awesome as you are.,True,False,False,False,False,False,False
321,"Welcome, my fellow language enthusiast! Any new words added to your vocabulary?",True,False,False,False,False,False,False
